City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,gravelbourg,49.8834,-106.5512,41.27,93,79,9.17,CA,2023-04-01 22:45:27
116,kalabo,-14.97,22.6814,64.98,94,84,4.5,ZM,2023-04-01 22:45:27
117,ajaccio,42.0,8.9167,55.45,67,100,12.66,FR,2023-04-01 22:45:24
118,buin,-33.7333,-70.75,84.52,21,11,2.66,CL,2023-04-01 22:45:27
119,vaini,-21.2,-175.2,79.59,77,11,16.4,TO,2023-04-01 22:45:27
120,te anau,-45.4167,167.7167,50.52,92,91,1.74,NZ,2023-04-01 22:45:27
121,buchanan,5.8808,-10.0467,79.36,88,86,5.68,LR,2023-04-01 22:45:28
122,nanortalik,60.1432,-45.2371,25.52,84,15,5.08,GL,2023-04-01 22:45:28
123,lebu,-37.6167,-73.65,57.78,94,99,9.26,CL,2023-04-01 22:45:28
124,dingle,10.9995,122.6711,77.63,85,100,4.81,PH,2023-04-01 22:45:28
125,powell river,49.8496,-124.5361,51.44,43,75,8.05,CA,2023-04-01 22:43:08
126,port alfred,-33.5906,26.891,68.18,88,41,1.99,ZA,2023-04-01 22:45:28
127,valparaiso,-33.0393,-71.6273,66.99,62,0,5.75,CL,2023-04-01 22:42:06
128,kahului,20.8947,-156.47,86.02,45,20,19.57,US,2023-04-01 22:45:28
129,puerto escondido,15.85,-97.0667,86.83,66,40,9.22,MX,2023-04-01 22:45:28
130,hovd,48.0056,91.6419,7.39,42,100,4.97,MN,2023-04-01 22:45:28
131,kibungo,-2.1597,30.5427,63.52,97,41,1.83,RW,2023-04-01 22:45:28
132,moose factory,51.2585,-80.6094,14.0,48,0,10.36,CA,2023-04-01 22:45:28
133,manakara,-22.1333,48.0167,75.22,85,100,3.56,MG,2023-04-01 22:45:28
134,mehriz,31.5917,54.4318,50.5,22,0,2.35,IR,2023-04-01 22:45:28
135,panaba,21.2833,-88.2667,93.2,29,23,15.21,MX,2023-04-01 22:45:28
136,port hueneme,34.1478,-119.1951,74.46,60,0,13.8,US,2023-04-01 22:45:28
137,carnarvon,-24.8667,113.6333,74.55,78,56,12.17,AU,2023-04-01 22:45:28
138,barrhead,55.7992,-4.3929,43.83,91,75,3.44,GB,2023-04-01 22:45:29
139,noumea,-22.2763,166.4572,84.18,99,21,5.77,NC,2023-04-01 22:41:28
140,tshikapa,-6.4167,20.8,69.73,94,99,1.19,CD,2023-04-01 22:41:56
141,puerto vallarta,20.6204,-105.2307,76.91,73,75,11.5,MX,2023-04-01 22:40:45
142,camacha,33.0833,-16.3333,62.02,82,40,8.05,PT,2023-04-01 22:45:29
143,kavieng,-2.5744,150.7967,81.72,78,100,5.44,PG,2023-04-01 22:45:29
144,san pedro de uraba,8.2752,-76.3764,79.14,80,91,8.28,CO,2023-04-01 22:45:29
145,bredasdorp,-34.5322,20.0403,60.64,95,0,4.41,ZA,2023-04-01 22:45:29
146,nova olimpia,-14.7972,-57.2881,76.1,87,60,3.38,BR,2023-04-01 22:42:43
147,nome,64.5011,-165.4064,30.27,93,100,16.11,US,2023-04-01 22:45:29
148,skibbereen,51.55,-9.2667,42.12,80,15,8.23,IE,2023-04-01 22:45:29
149,kodiak,57.79,-152.4072,38.71,41,0,26.46,US,2023-04-01 22:43:07
150,mogadishu,2.0371,45.3438,81.37,76,40,9.62,SO,2023-04-01 22:43:32
151,sinop,41.7711,34.8709,49.37,66,100,10.6,TR,2023-04-01 22:44:34
152,esperance,-33.8667,121.9,64.31,85,100,12.03,AU,2023-04-01 22:45:29
153,padang,-0.9492,100.3543,75.65,84,100,3.29,ID,2023-04-01 22:45:29
154,sulangan,11.1373,123.7228,80.78,78,100,9.15,PH,2023-04-01 22:45:30
155,karratha,-20.7377,116.8463,80.35,75,71,5.3,AU,2023-04-01 22:45:00
156,katsuura,35.1333,140.3,58.71,68,100,14.56,JP,2023-04-01 22:45:30
157,tiksi,71.6872,128.8694,3.22,80,97,26.49,RU,2023-04-01 22:45:30
158,mahebourg,-20.4081,57.7,77.29,83,20,3.44,MU,2023-04-01 22:45:30
159,sabha,27.0377,14.4283,68.07,12,0,10.96,LY,2023-04-01 22:45:30
160,jamestown,42.097,-79.2353,38.52,93,100,28.77,US,2023-04-01 22:45:30
161,vila velha,-20.3297,-40.2925,80.55,89,40,2.3,BR,2023-04-01 22:45:07
